2022-05-13 15:12:40.175 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:44.481 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:45.901 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:50.364 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:53.632 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:58.025 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:02.943 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:04.144 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:08.196 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:12.512 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:16.148 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:18.330 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:21.704 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:26.532 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:28.434 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:30.086 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:31.157 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:13:32.685 | consumer.py 95 | ERROR | 连接异常，重新连接：
