2022-05-31 18:46:09.019 | consumer1.py 75 | WARNING | No such attack
2022-05-31 18:46:09.021 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 18:47:28.890 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 18:47:28.898 | consumer1.py 54 | WARNING | Received '{"task_id": "e430e3b4-0130-4eeb-8816-c52670057631", "status": 1, "msg": "nmap扫描完成", "data": {"scan_time": "2022-05-31 18:47:23", "target": "49.82.74.63", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}}'
2022-05-31 18:47:28.900 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 18:47:28.915 | consumer1.py 75 | WARNING | No such attack
2022-05-31 18:47:28.920 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 19:05:41.271 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 19:05:41.302 | consumer1.py 54 | WARNING | Received '{"task_id": "e66ffcd3-8b64-4524-bba2-dfb4969f31cc", "status": 1, "msg": "nmap扫描完成", "data": {"scan_time": "2022-05-31 19:05:35", "target": "103.85.84.160", "assets": [{"port": "20", "service": "ftp-data"}, {"port": "21", "service": "ftp"}, {"port": "22", "service": "ssh"}, {"port": "23", "service": "telnet"}, {"port": "69", "service": "tftp"}, {"port": "80", "service": "http"}, {"port": "81", "service": "hosts2-ns"}, {"port": "389", "service": "ldap"}, {"port": "443", "service": "https"}, {"port": "1352", "service": "lotusnotes"}, {"port": "1433", "service": "ms-sql-s"}, {"port": "1521", "service": "oracle"}, {"port": "2049", "service": "nfs"}, {"port": "2181", "service": "eforward"}, {"port": "2375", "service": "docker"}, {"port": "3306", "service": "mysql"}, {"port": "3389", "service": "ms-wbt-server"}, {"port": "5000", "service": "upnp"}, {"port": "5003", "service": "filemaker"}, {"port": "5050", "service": "mmcc"}, {"port": "5432", "service": "postgresql"}, {"port": "6379", "service": "redis"}, {"port": "7001", "service": "afs3-callback"}, {"port": "8069", "service": "unknown"}, {"port": "8080", "service": "http-proxy"}, {"port": "8089", "service": "unknown"}, {"port": "8888", "service": "sun-answerbook"}, {"port": "9200", "service": "wap-wsp"}, {"port": "9300", "service": "vrace"}, {"port": "27017", "service": "mongod"}], "assetinfo": {"http": [], "weakpass": [], "vul": []}}}'
2022-05-31 19:05:41.306 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 19:05:41.364 | consumer1.py 75 | WARNING | No such attack
2022-05-31 19:05:41.366 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 19:05:49.332 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 19:05:49.341 | consumer1.py 54 | WARNING | Received '{"task_id": "1697ceb9-339b-44e1-a805-41997fc31bc2", "status": 1, "msg": "扫描完成", "data": {"scan_time": "2022-05-31 19:05:45", "target": "114.238.190.79", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}, "finished": true}'
2022-05-31 19:05:49.347 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 19:05:49.352 | consumer1.py 75 | WARNING | No such attack
2022-05-31 19:05:49.354 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 19:16:15.818 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 19:16:15.847 | consumer1.py 54 | WARNING | Received '{"task_id": "6eeeaf28-ffaa-451e-8697-4da3502f5f80", "status": 1, "msg": "nmap扫描完成", "data": {"scan_time": "2022-05-31 19:16:11", "target": "114.238.190.79", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}}'
2022-05-31 19:16:15.852 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 19:16:15.880 | consumer1.py 75 | WARNING | No such attack
2022-05-31 19:16:15.882 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 20:29:40.774 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 20:29:41.025 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 20:35:42.810 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 20:35:43.057 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 20:48:08.679 | consumer1.py 102 | INFO | consumer1 start
2022-05-31 20:48:08.930 | consumer1.py 92 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 21:04:58.079 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 21:04:58.100 | consumer1.py 54 | WARNING | Received '{"task_id": "269a5d3f-3c30-492e-bcaa-54831cc09719", "status": 1, "msg": "扫描完成", "data": {"scan_time": "2022-05-31 21:04:51", "target": "152.136.19.143", "assets": [{"port": "3389", "service": "ms-wbt-server"}], "assetinfo": {"http": [], "weakpass": [], "vul": []}}, "finished": true}'
2022-05-31 21:04:58.118 | consumer1.py 61 | WARNING | Saving to DB
2022-05-31 21:04:58.300 | consumer1.py 76 | WARNING | No such attack
2022-05-31 21:04:58.302 | consumer1.py 79 | WARNING | Saved to DB
